cv_thresh_x100,motion_w,min_hsv_x100,bg_var_thresh,conf_x100,track_min_hits,color_w,shape_w,avg_stable,cv_pass_rate,peak_stable,zero_frac,score
18,0,6,100,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
18,0,6,140,22,2,6,4,0.213,0.664,1.0,0.023,0.1986
8,0,10,60,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
8,0,10,100,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
8,0,10,140,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
8,1,10,60,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
8,1,10,100,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
8,1,10,140,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
12,0,10,60,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
12,0,10,100,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
12,0,10,140,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
12,1,10,60,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
12,1,10,100,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
12,1,10,140,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
18,0,10,60,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
18,0,10,100,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
18,0,10,140,22,2,6,4,0.21,0.662,1.0,0.023,0.1883
18,1,10,60,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
18,1,10,100,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
18,1,10,140,22,2,6,3,0.21,0.662,1.0,0.023,0.1883
8,0,15,60,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
8,0,15,100,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
8,0,15,140,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
8,1,15,60,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
8,1,15,100,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
8,1,15,140,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
12,0,15,60,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
12,0,15,100,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
12,0,15,140,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
12,1,15,60,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
12,1,15,100,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
12,1,15,140,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
18,0,15,60,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
18,0,15,100,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
18,0,15,140,22,2,6,4,0.208,0.661,0.75,0.023,0.1443
18,1,15,60,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
18,1,15,100,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
18,1,15,140,22,2,6,3,0.208,0.661,0.75,0.023,0.1443
8,0,6,60,22,3,6,4,0.2,0.666,0.5,0.01,0.1118
8,0,6,100,22,3,6,4,0.2,0.666,0.5,0.01,0.1118
8,0,6,140,22,3,6,4,0.2,0.666,0.5,0.01,0.1118
8,1,6,60,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
8,1,6,100,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
8,1,6,140,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
12,1,6,60,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
12,1,6,100,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
12,1,6,140,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
18,1,6,60,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
18,1,6,100,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
18,1,6,140,22,3,6,3,0.2,0.666,0.5,0.01,0.1118
12,0,6,60,22,3,6,4,0.198,0.664,0.5,0.01,0.104
12,0,6,100,22,3,6,4,0.198,0.664,0.5,0.01,0.104
12,0,6,140,22,3,6,4,0.198,0.664,0.5,0.01,0.104
18,0,6,60,22,3,6,4,0.198,0.664,0.5,0.01,0.104
18,0,6,100,22,3,6,4,0.198,0.664,0.5,0.01,0.104
18,0,6,140,22,3,6,4,0.198,0.664,0.5,0.01,0.104
8,0,10,60,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
8,0,10,100,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
8,0,10,140,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
8,1,10,60,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
8,1,10,100,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
8,1,10,140,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
12,0,10,60,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
12,0,10,100,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
12,0,10,140,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
12,1,10,60,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
12,1,10,100,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
12,1,10,140,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
18,0,10,60,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
18,0,10,100,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
18,0,10,140,22,3,6,4,0.198,0.662,0.5,0.01,0.1013
18,1,10,60,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
18,1,10,100,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
18,1,10,140,22,3,6,3,0.198,0.662,0.5,0.01,0.1013
8,0,15,60,22,3,6,4,0.198,0.661,0.5,0.01,0.1
8,0,15,100,22,3,6,4,0.198,0.661,0.5,0.01,0.1
8,0,15,140,22,3,6,4,0.198,0.661,0.5,0.01,0.1
8,1,15,60,22,3,6,3,0.198,0.661,0.5,0.01,0.1
8,1,15,100,22,3,6,3,0.198,0.661,0.5,0.01,0.1
8,1,15,140,22,3,6,3,0.198,0.661,0.5,0.01,0.1
12,0,15,60,22,3,6,4,0.198,0.661,0.5,0.01,0.1
12,0,15,100,22,3,6,4,0.198,0.661,0.5,0.01,0.1
12,0,15,140,22,3,6,4,0.198,0.661,0.5,0.01,0.1
12,1,15,60,22,3,6,3,0.198,0.661,0.5,0.01,0.1
12,1,15,100,22,3,6,3,0.198,0.661,0.5,0.01,0.1
12,1,15,140,22,3,6,3,0.198,0.661,0.5,0.01,0.1
18,0,15,60,22,3,6,4,0.198,0.661,0.5,0.01,0.1
18,0,15,100,22,3,6,4,0.198,0.661,0.5,0.01,0.1
18,0,15,140,22,3,6,4,0.198,0.661,0.5,0.01,0.1
18,1,15,60,22,3,6,3,0.198,0.661,0.5,0.01,0.1
18,1,15,100,22,3,6,3,0.198,0.661,0.5,0.01,0.1
18,1,15,140,22,3,6,3,0.198,0.661,0.5,0.01,0.1
